Wally's Coffee (1 Rue des Ponts de Comines), Lille
Friterie de la Grand'Place (Place Charles de Gaulle), Lille
Chic & Burger (42 Rue de la Monnaie), Lille
Le Potager de Charlotte (9 Rue des Trois Mollettes), Lille
Les Frères Dardennes (3 Rue des Manneliers), Lille
Poule & Poulette (2 Place Louise de Bettignies), Lille
Fresh Burritos (5 Rue de la Monnaie), Lille
Sushi Shop (6 Rue de la Monnaie), Lille
La Bottega (2 Rue Royale), Lille
Phood (13 Rue des Vieux Murs), Lille
Big Fernand (20 Rue de la République), Marseille
Fric-Frac (60 Cours Julien), Marseille
Blend (18 Cours Sextius), Aix-en-Provence
Bagelstein -3 Rue Francis Davso), Marseille
Soul Food Factory (1 Rue Caisserie), Marseille
Holy Moly (47 Rue Saint-Saëns), Marseille
Chez Etienne (43 Boulevard de la Libération), Marseille
Gourmet Burger Kitchen (1 Rue Francis Davso), Marseille
Le camion qui fume : Emplacement mobile (checkez les réseaux sociaux pour les emplacements), Paris
Fuxia (6 Rue du Coq), Marseille
Hank Burger (55 Rue des Archives), Paris
Wild & The Moon, Paris
Holybelly (5 Rue Lucien Sampaix), Paris
Frenchie To Go (9 Rue du Nil), Paris
Blend Hamburger (44 Rue d'Argout), Paris
La Panineria (27 Rue du Faubourg Saint-Antoine), Paris
East Mamma (133 Rue du Faubourg Saint-Antoine), Paris
Bagels & Brownies (12 Rue Notre Dame de Nazareth), Paris
L'As du Fallafel (34 Rue des Rosiers), Paris
Le Boucanier (51 Rue du Hocquet), Amiens
La Taverne de Thor (34 Rue de Beauvais), Amiens
Le Snack d'Orient (17 Rue Cormont), Amiens
Le Comptoir des Brosses (1 Rue des Brosses), Amiens
Chez Tonton (11 Rue des Sergents), Amiens
La Parenthèse (55 Rue Général Leclerc), Amiens
Le P'tit Belge (17 Rue Caudron), Amiens
La Maison du Kebab (36 Rue des Jacobins), Amiens
Le Waffle Square (1 Rue de la Morlière), Amiens
Sogood (1 Rue de Beauvais), Amiens
